Iteration,F1_Score,Time
1,0.5899,335.04
2,0.5877,255.79
3,0.5879,245.51
4,0.5913,236.79
5,0.5875,241.53
6,0.5909,318.7
7,0.5887,275.83
8,0.5899,229.85
9,0.5871,352.19
10,0.5875,246.02
11,0.5887,235.98
12,0.5883,238.86
13,0.5883,221.21
14,0.5885,229.2
15,0.5897,240.43
16,0.5903,266.91
17,0.5867,266.42
18,0.5891,244.85
19,0.5853,284.82
20,0.5909,261.92
21,0.5869,291.82
22,0.5869,319.64
23,0.5885,317.38
24,0.5875,280.64
25,0.5887,259.02
26,0.5865,252.36
27,0.5847,246.45
28,0.5865,230.42
29,0.5887,264.79
30,0.5877,249.37
31,0.5885,250.19
32,0.5893,244.84
33,0.5877,225.93
34,0.5899,244.31
35,0.5883,636.11
36,0.5875,496.77
37,0.5887,419.96
38,0.5885,368.54
39,0.5871,270.33
40,0.5879,301.93
41,0.5861,343.84
42,0.5903,354.3
43,0.5873,504.5
44,0.5865,451.31
45,0.5863,290.72
46,0.5835,502.02
47,0.5871,361.5
48,0.5903,217.21
49,0.5889,255.62
50,0.5869,333.2
51,0.5881,217.14
52,0.5883,235.26
53,0.5859,408.78
54,0.5841,435.63
55,0.5871,397.92
56,0.5891,315.84
57,0.5907,359.91
58,0.5877,406.42
59,0.5863,433.63
60,0.5881,368.35
61,0.5867,324.35
62,0.5865,323.38
63,0.5895,255.21
64,0.5873,256.52
65,0.5869,252.41
66,0.5883,258.41
67,0.5879,255.15
68,0.5877,300.54
69,0.5875,335.39
70,0.5855,358.89
71,0.5873,253.8
72,0.5867,229.94
73,0.5875,316.51
74,0.5877,309.93
75,0.5895,218.52
76,0.5887,287.03
77,0.5879,333.69
78,0.5889,275.64
79,0.5909,249.31
80,0.5855,288.36
81,0.5917,241.26
82,0.5875,248.02
83,0.5875,243.02
84,0.5883,335.38
85,0.5883,297.5
86,0.5859,237.28
87,0.5905,259.55
88,0.5877,248.17
89,0.5881,260.13
90,0.5883,236.64
91,0.5869,261.84
92,0.5887,234.33
93,0.5869,262.62
94,0.5869,278.61
95,0.5871,421.19
96,0.5897,212.78
97,0.5893,266.24
98,0.5867,280.66
99,0.5879,261.58
100,0.5909,327.57
