Repeat,Generation,F1_Score
1,1,0.3879
1,2,0.3879
1,3,0.3937
1,4,0.3981
1,5,0.3981
1,6,0.4017
1,7,0.4041
1,8,0.4041
2,1,0.3997
2,2,0.4025
2,3,0.4139
2,4,0.4235
2,5,0.4235
2,6,0.4235
2,7,0.4235
2,8,0.4235
3,1,0.3752
3,2,0.3997
3,3,0.3997
3,4,0.3997
3,5,0.4065
3,6,0.4111
3,7,0.4111
3,8,0.4111
4,1,0.3921
4,2,0.3973
4,3,0.3973
4,4,0.3973
4,5,0.3973
4,6,0.3973
4,7,0.3993
4,8,0.4013
5,1,0.3921
5,2,0.4023
5,3,0.4205
5,4,0.4205
5,5,0.4205
5,6,0.4205
5,7,0.4205
5,8,0.4205
6,1,0.3975
6,2,0.4087
6,3,0.4143
6,4,0.4277
6,5,0.4277
6,6,0.4277
6,7,0.4277
6,8,0.4277
7,1,0.3857
7,2,0.3953
7,3,0.4003
7,4,0.4049
7,5,0.4057
7,6,0.4145
7,7,0.4145
7,8,0.4145
8,1,0.3835
8,2,0.3835
8,3,0.4051
8,4,0.4181
8,5,0.4181
8,6,0.4181
8,7,0.4187
8,8,0.4247
9,1,0.3748
9,2,0.3857
9,3,0.4029
9,4,0.4117
9,5,0.4163
9,6,0.4163
9,7,0.4163
9,8,0.4179
10,1,0.3967
10,2,0.4187
10,3,0.4291
10,4,0.4291
10,5,0.4299
10,6,0.4299
10,7,0.4299
10,8,0.4299
11,1,0.3995
11,2,0.4141
11,3,0.4183
11,4,0.4249
11,5,0.4291
11,6,0.4291
11,7,0.4329
11,8,0.4329
12,1,0.373
12,2,0.3865
12,3,0.4043
12,4,0.4093
12,5,0.4117
12,6,0.4117
12,7,0.4117
12,8,0.4181
13,1,0.3801
13,2,0.3923
13,3,0.3999
13,4,0.4071
13,5,0.4187
13,6,0.4187
13,7,0.4187
13,8,0.4187
14,1,0.3901
14,2,0.3959
14,3,0.4083
14,4,0.4091
14,5,0.4183
14,6,0.4245
14,7,0.4245
14,8,0.4265
15,1,0.3857
15,2,0.3941
15,3,0.3941
15,4,0.4045
15,5,0.4063
15,6,0.4079
15,7,0.4079
15,8,0.4079
16,1,0.4173
16,2,0.4173
16,3,0.4265
16,4,0.4285
16,5,0.4285
16,6,0.4285
16,7,0.4285
16,8,0.4293
17,1,0.3897
17,2,0.4003
17,3,0.4065
17,4,0.4065
17,5,0.4193
17,6,0.4229
