Repeat,Generation,F1_Score
17,7,0.4229
17,8,0.4229
18,1,0.4107
18,2,0.4207
18,3,0.4257
18,4,0.4257
18,5,0.4257
18,6,0.4293
18,7,0.4293
18,8,0.4293
19,1,0.3919
19,2,0.3989
19,3,0.4167
19,4,0.4183
19,5,0.4319
19,6,0.4319
19,7,0.4319
19,8,0.4319
20,1,0.4073
20,2,0.4255
20,3,0.4259
20,4,0.4259
20,5,0.4341
20,6,0.4341
20,7,0.4341
20,8,0.4357
21,1,0.3837
21,2,0.3967
21,3,0.4051
21,4,0.4051
21,5,0.4073
21,6,0.4109
21,7,0.4109
21,8,0.4109
22,1,0.3903
22,2,0.3903
22,3,0.3971
22,4,0.4041
22,5,0.4041
22,6,0.4153
22,7,0.4221
22,8,0.4331
23,1,0.4039
23,2,0.4201
23,3,0.4201
23,4,0.4201
23,5,0.4265
23,6,0.4265
23,7,0.4265
23,8,0.4269
24,1,0.3969
24,2,0.4011
24,3,0.4153
24,4,0.4153
24,5,0.4153
24,6,0.4153
24,7,0.4155
24,8,0.4221
25,1,0.3863
25,2,0.4105
25,3,0.4163
25,4,0.4177
25,5,0.4241
25,6,0.4241
25,7,0.4241
25,8,0.4241
26,1,0.3955
26,2,0.4103
26,3,0.4147
26,4,0.4161
26,5,0.4183
26,6,0.4229
26,7,0.4239
26,8,0.4239
27,1,0.3993
27,2,0.4137
27,3,0.4171
27,4,0.4171
27,5,0.4171
27,6,0.4273
27,7,0.4273
27,8,0.4273
28,1,0.3957
28,2,0.4065
28,3,0.4065
28,4,0.4117
28,5,0.4149
28,6,0.4149
28,7,0.4177
28,8,0.4177
29,1,0.4013
29,2,0.4031
29,3,0.4075
29,4,0.4123
29,5,0.4151
29,6,0.4193
29,7,0.4193
29,8,0.4193
30,1,0.3923
30,2,0.3937
30,3,0.4003
30,4,0.4087
30,5,0.4133
30,6,0.4153
30,7,0.4155
30,8,0.4155
31,1,0.3991
31,2,0.4057
31,3,0.4079
31,4,0.4157
31,5,0.4157
31,6,0.4181
31,7,0.4189
31,8,0.4195
32,1,0.3857
32,2,0.3857
32,3,0.3973
32,4,0.4075
32,5,0.4137
32,6,0.4137
32,7,0.4155
32,8,0.4155
33,1,0.3829
33,2,0.4033
33,3,0.4033
33,4,0.4033
33,5,0.4033
33,6,0.4053
33,7,0.4123
33,8,0.4123
34,1,0.3837
34,2,0.4173
34,3,0.4173
34,4,0.4251
34,5,0.4251
34,6,0.4251
34,7,0.4251
34,8,0.4251
35,1,0.3901
35,2,0.3915
35,3,0.3969
35,4,0.4003
35,5,0.4065
35,6,0.4065
35,7,0.4065
35,8,0.4065
36,1,0.3795
36,2,0.4109
36,3,0.4109
36,4,0.4243
36,5,0.4243
36,6,0.4279
36,7,0.4279
36,8,0.4279
37,1,0.3843
37,2,0.4161
37,3,0.4163
37,4,0.4163
37,5,0.4299
37,6,0.4299
37,7,0.4299
37,8,0.4299
38,1,0.4071
38,2,0.4171
38,3,0.4235
38,4,0.4235
38,5,0.4235
38,6,0.4257
38,7,0.4257
38,8,0.4289
39,1,0.3797
39,2,0.3987
39,3,0.4071
39,4,0.4205
39,5,0.4205
39,6,0.4285
39,7,0.4285
39,8,0.4285
40,1,0.3863
40,2,0.4005
40,3,0.4005
40,4,0.4011
40,5,0.4111
40,6,0.4111
40,7,0.4143
40,8,0.4147
41,1,0.3859
41,2,0.3881
41,3,0.3893
41,4,0.4015
41,5,0.4015
41,6,0.4015
41,7,0.4097
41,8,0.4097
42,1,0.4079
42,2,0.4079
42,3,0.4083
42,4,0.4167
42,5,0.4167
42,6,0.4175
42,7,0.4211
42,8,0.4229
43,1,0.3913
43,2,0.4017
43,3,0.4203
43,4,0.4203
43,5,0.4203
43,6,0.4203
43,7,0.4203
43,8,0.4351
44,1,0.3716
44,2,0.3883
44,3,0.3883
44,4,0.4013
44,5,0.4099
44,6,0.4099
44,7,0.4139
44,8,0.4147
45,1,0.3953
45,2,0.4133
45,3,0.4133
45,4,0.4283
45,5,0.4283
45,6,0.4283
45,7,0.4283
45,8,0.4283
46,1,0.3967
46,2,0.4187
46,3,0.4203
46,4,0.4213
46,5,0.4217
46,6,0.4259
46,7,0.4259
46,8,0.4265
47,1,0.3909
47,2,0.4183
47,3,0.4183
47,4,0.4183
47,5,0.4183
47,6,0.4193
47,7,0.4193
47,8,0.4213
48,1,0.4217
48,2,0.4217
48,3,0.4217
48,4,0.4251
48,5,0.4251
48,6,0.4297
48,7,0.4297
48,8,0.4313
49,1,0.3899
49,2,0.4025
49,3,0.4141
49,4,0.4141
49,5,0.4177
49,6,0.4177
49,7,0.4187
49,8,0.4213
50,1,0.3847
50,2,0.3847
50,3,0.4033
50,4,0.4129
50,5,0.4247
50,6,0.4255
50,7,0.4255
50,8,0.4269
51,1,0.3716
51,2,0.3833
51,3,0.4011
51,4,0.4011
51,5,0.4011
51,6,0.4025
51,7,0.4037
51,8,0.4085
52,1,0.4187
52,2,0.4247
52,3,0.4247
52,4,0.4283
52,5,0.4283
52,6,0.4283
52,7,0.4311
52,8,0.4311
53,1,0.3843
53,2,0.4087
53,3,0.4103
53,4,0.4103
53,5,0.4103
53,6,0.4183
53,7,0.4183
53,8,0.4183
54,1,0.3893
54,2,0.4111
54,3,0.4137
54,4,0.4147
54,5,0.4201
54,6,0.4259
54,7,0.4259
54,8,0.4259
55,1,0.3965
55,2,0.4007
55,3,0.4079
55,4,0.4079
55,5,0.4079
55,6,0.4135
55,7,0.4171
55,8,0.4185
56,1,0.4171
56,2,0.4171
56,3,0.4175
56,4,0.4223
56,5,0.4223
56,6,0.4257
56,7,0.4257
56,8,0.4257
57,1,0.3785
57,2,0.3975
57,3,0.3975
57,4,0.3975
57,5,0.3975
57,6,0.4051
57,7,0.4121
57,8,0.4171
58,1,0.3911
58,2,0.4065
58,3,0.4181
58,4,0.4209
58,5,0.4209
58,6,0.4223
58,7,0.4223
58,8,0.4275
59,1,0.3997
59,2,0.4007
59,3,0.4067
59,4,0.4109
59,5,0.4145
59,6,0.4145
59,7,0.4145
59,8,0.4161
60,1,0.3857
60,2,0.3963
60,3,0.4071
60,4,0.4137
60,5,0.4311
60,6,0.4311
60,7,0.4311
60,8,0.4311
61,1,0.3763
61,2,0.3903
61,3,0.4111
61,4,0.4173
61,5,0.4237
61,6,0.4295
61,7,0.4295
61,8,0.4295
62,1,0.371
62,2,0.3957
62,3,0.4021
62,4,0.4201
62,5,0.4201
62,6,0.4201
62,7,0.4201
62,8,0.4201
63,1,0.4037
63,2,0.4125
63,3,0.4199
63,4,0.4199
63,5,0.4265
63,6,0.4265
63,7,0.4265
63,8,0.4319
64,1,0.3895
64,2,0.4043
64,3,0.4167
64,4,0.4251
64,5,0.4251
64,6,0.4283
64,7,0.4283
64,8,0.4283
65,1,0.3732
65,2,0.3909
65,3,0.4003
65,4,0.4087
65,5,0.4087
65,6,0.4113
65,7,0.4113
65,8,0.4161
66,1,0.3849
66,2,0.4035
66,3,0.4037
66,4,0.4069
66,5,0.4163
66,6,0.4163
66,7,0.4185
66,8,0.4185
67,1,0.3899
67,2,0.4131
67,3,0.4131
67,4,0.4131
67,5,0.4131
67,6,0.4131
67,7,0.4163
67,8,0.4163
68,1,0.3937
68,2,0.4021
68,3,0.4085
68,4,0.4097
68,5,0.4189
68,6,0.4245
68,7,0.4245
68,8,0.4245
69,1,0.3861
69,2,0.3953
69,3,0.4013
69,4,0.4013
69,5,0.4105
69,6,0.4171
69,7,0.4171
69,8,0.4231
70,1,0.4085
70,2,0.4085
70,3,0.4145
70,4,0.4145
70,5,0.4145
70,6,0.4199
70,7,0.4215
70,8,0.4271
71,1,0.4081
71,2,0.4081
71,3,0.4081
71,4,0.4115
71,5,0.4161
71,6,0.4193
71,7,0.4193
71,8,0.4193
72,1,0.3959
72,2,0.4047
72,3,0.4129
72,4,0.4129
72,5,0.4133
72,6,0.4147
72,7,0.4245
72,8,0.4245
73,1,0.4057
73,2,0.4137
73,3,0.4183
73,4,0.4221
73,5,0.4297
73,6,0.4297
73,7,0.4299
73,8,0.4355
74,1,0.3797
74,2,0.3965
74,3,0.4039
74,4,0.4075
74,5,0.4075
74,6,0.4075
74,7,0.4075
74,8,0.4075
75,1,0.3941
75,2,0.4097
75,3,0.4097
75,4,0.4097
75,5,0.4141
75,6,0.4161
75,7,0.4239
75,8,0.4239
76,1,0.3997
76,2,0.4067
76,3,0.4151
76,4,0.4151
76,5,0.4219
76,6,0.4219
76,7,0.4347
76,8,0.4347
77,1,0.3865
77,2,0.3887
77,3,0.4043
77,4,0.4043
77,5,0.4043
77,6,0.4061
77,7,0.4087
77,8,0.4111
78,1,0.3987
78,2,0.3987
78,3,0.4095
78,4,0.4181
78,5,0.4181
78,6,0.4193
78,7,0.4193
78,8,0.4283
79,1,0.4041
79,2,0.4085
79,3,0.4189
79,4,0.4193
79,5,0.4213
79,6,0.4213
79,7,0.4235
79,8,0.4271
80,1,0.3833
80,2,0.4117
80,3,0.4117
80,4,0.4227
80,5,0.4227
80,6,0.4227
80,7,0.4227
80,8,0.4227
81,1,0.3853
81,2,0.3917
81,3,0.3917
81,4,0.4003
81,5,0.4049
81,6,0.4127
81,7,0.4127
81,8,0.4127
82,1,0.3813
82,2,0.3985
82,3,0.4047
82,4,0.4233
82,5,0.4233
82,6,0.4233
82,7,0.4265
82,8,0.4265
83,1,0.3957
83,2,0.4099
83,3,0.4143
83,4,0.4197
83,5,0.4225
83,6,0.4259
83,7,0.4265
83,8,0.4283
84,1,0.4033
84,2,0.4227
84,3,0.4227
84,4,0.4339
84,5,0.4339
84,6,0.4339
84,7,0.4339
84,8,0.4339
85,1,0.4091
85,2,0.4091
85,3,0.4261
85,4,0.4261
85,5,0.4285
85,6,0.4291
85,7,0.4291
85,8,0.4291
86,1,0.3764
86,2,0.3837
86,3,0.4203
86,4,0.4203
86,5,0.4203
86,6,0.4203
86,7,0.4203
86,8,0.4203
87,1,0.3965
87,2,0.4045
87,3,0.4111
87,4,0.4125
87,5,0.4215
87,6,0.4327
87,7,0.4327
87,8,0.4327
88,1,0.4077
88,2,0.4161
88,3,0.4161
88,4,0.4161
88,5,0.4181
88,6,0.4215
88,7,0.4263
88,8,0.4263
89,1,0.3762
89,2,0.3937
89,3,0.3937
89,4,0.3939
89,5,0.4081
89,6,0.4139
89,7,0.4141
89,8,0.4233
90,1,0.4119
90,2,0.4119
90,3,0.4147
90,4,0.4147
90,5,0.4147
90,6,0.4181
90,7,0.4203
90,8,0.4203
91,1,0.4143
91,2,0.4195
91,3,0.4195
91,4,0.4195
91,5,0.4195
91,6,0.4195
91,7,0.4225
91,8,0.4225
92,1,0.3931
92,2,0.4179
92,3,0.4229
92,4,0.4311
92,5,0.4311
92,6,0.4311
92,7,0.4311
92,8,0.4311
93,1,0.3917
93,2,0.4115
93,3,0.4115
93,4,0.4199
93,5,0.4199
93,6,0.4199
93,7,0.4283
93,8,0.4283
94,1,0.3989
94,2,0.3989
94,3,0.4069
94,4,0.4155
94,5,0.4155
94,6,0.4173
94,7,0.4173
94,8,0.4173
95,1,0.3829
95,2,0.4007
95,3,0.4007
95,4,0.4043
95,5,0.4043
95,6,0.4057
95,7,0.4105
95,8,0.4105
96,1,0.3919
96,2,0.4171
96,3,0.4213
96,4,0.4215
96,5,0.4259
96,6,0.4259
96,7,0.4259
96,8,0.4259
97,1,0.3903
97,2,0.4101
97,3,0.4111
97,4,0.4145
97,5,0.4183
97,6,0.4183
97,7,0.4191
97,8,0.4191
98,1,0.3764
98,2,0.4001
98,3,0.4031
98,4,0.4161
98,5,0.4161
98,6,0.4257
98,7,0.4257
98,8,0.4257
99,1,0.3991
99,2,0.4253
99,3,0.4253
99,4,0.4253
99,5,0.4253
99,6,0.4287
99,7,0.4287
99,8,0.4287
100,1,0.4039
100,2,0.4109
100,3,0.4109
100,4,0.4169
100,5,0.4169
100,6,0.4169
100,7,0.4177
100,8,0.4197
