Trial,Iteration,F1_Score
1,1,0.2863
1,2,0.2515
1,3,0.3294
1,4,0.4113
1,5,0.336
1,6,0.3765
1,7,0.2775
1,8,0.341
1,9,0.4788
1,10,0.503
1,11,0.4541
1,12,0.3226
1,13,0.4844
1,14,0.4195
1,15,0.2703
1,16,0.4616
1,17,0.3296
1,18,0.2829
1,19,0.2895
1,20,0.2743
1,21,0.3136
1,22,0.2881
1,23,0.4259
1,24,0.3274
1,25,0.4796
1,26,0.2821
1,27,0.4323
1,28,0.2904
1,29,0.2843
1,30,0.4722
1,31,0.4345
1,32,0.5102
1,33,0.4509
1,34,0.3847
1,35,0.465
1,36,0.4568
1,37,0.2988
1,38,0.3282
1,39,0.4876
1,40,0.377
1,41,0.3144
1,42,0.2461
1,43,0.3262
1,44,0.3999
1,45,0.3722
1,46,0.4866
1,47,0.5178
1,48,0.5132
1,49,0.4702
1,50,0.467
1,51,0.3827
1,52,0.359
1,53,0.4401
1,54,0.3726
1,55,0.4884
1,56,0.4323
1,57,0.4882
1,58,0.5096
1,59,0.3266
1,60,0.3004
1,61,0.461
1,62,0.4473
1,63,0.2829
1,64,0.5044
1,65,0.4133
1,66,0.2657
1,67,0.3236
1,68,0.2469
1,69,0.3424
1,70,0.4539
1,71,0.2831
1,72,0.5028
1,73,0.4443
1,74,0.465
1,75,0.4325
1,76,0.5078
1,77,0.4411
1,78,0.3366
1,79,0.4792
1,80,0.3949
1,81,0.4816
1,82,0.4259
1,83,0.2755
1,84,0.368
1,85,0.2803
1,86,0.5036
1,87,0.335
1,88,0.3458
1,89,0.3508
1,90,0.4293
1,91,0.4634
1,92,0.2461
1,93,0.2693
1,94,0.2773
1,95,0.1065
1,96,0.3654
1,97,0.4575
1,98,0.2829
1,99,0.4808
1,100,0.3032
1,101,0.3146
1,102,0.3925
1,103,0.4469
1,104,0.2707
1,105,0.4149
1,106,0.359
1,107,0.3056
1,108,0.2885
1,109,0.3268
1,110,0.328
1,111,0.3162
1,112,0.3066
1,113,0.2783
1,114,0.3771
1,115,0.3997
1,116,0.494
1,117,0.5122
1,118,0.4606
1,119,0.4954
1,120,0.2461
1,121,0.4107
1,122,0.4465
1,123,0.4716
1,124,0.5336
1,125,0.3935
1,126,0.4539
1,127,0.2893
1,128,0.2617
1,129,0.2649
1,130,0.4277
1,131,0.2833
1,132,0.4349
1,133,0.329
1,134,0.4742
1,135,0.3086
1,136,0.4365
1,137,0.4618
1,138,0.2707
1,139,0.4303
1,140,0.4503
1,141,0.514
1,142,0.2581
1,143,0.4962
1,144,0.4005
1,145,0.4085
1,146,0.4561
1,147,0.5537
1,148,0.3514
1,149,0.4782
1,150,0.336
1,151,0.3704
1,152,0.2117
1,153,0.2805
1,154,0.3656
1,155,0.3913
1,156,0.5062
1,157,0.2613
1,158,0.463
1,159,0.4988
1,160,0.4131
1,161,0.4614
1,162,0.4385
1,163,0.2461
1,164,0.4263
1,165,0.4808
1,166,0.298
1,167,0.4119
1,168,0.4053
1,169,0.2721
1,170,0.5336
1,171,0.4293
1,172,0.4365
1,173,0.3979
1,174,0.3594
1,175,0.4449
1,176,0.2887
1,177,0.4938
1,178,0.371
1,179,0.31
1,180,0.4345
1,181,0.4355
1,182,0.3404
1,183,0.3116
1,184,0.4249
1,185,0.3612
1,186,0.4567
1,187,0.4431
1,188,0.4549
1,189,0.3853
1,190,0.4225
1,191,0.3775
1,192,0.4467
1,193,0.4453
1,194,0.3012
1,195,0.3791
1,196,0.4728
1,197,0.4872
1,198,0.2537
1,199,0.4175
1,200,0.4521
2,1,0.2493
2,2,0.3716
2,3,0.5034
2,4,0.524
2,5,0.5208
2,6,0.4844
2,7,0.4345
2,8,0.4762
2,9,0.4854
2,10,0.4409
2,11,0.2775
2,12,0.335
2,13,0.3362
2,14,0.3404
2,15,0.2467
2,16,0.4802
2,17,0.4734
2,18,0.2901
2,19,0.4772
2,20,0.2461
