Repeat,Generation,F1_Score,Time
1,1,0.3880655896280896,197.24
1,2,0.4605533418033418,197.24
1,3,0.4737663143913144,197.24
1,4,0.5026000760375761,197.24
1,5,0.536442813005313,197.24
1,6,0.5670782561407562,197.24
1,7,0.5720845845845846,197.24
1,8,0.5710828617078617,197.24
2,1,0.3866653913528914,194.83
2,2,0.45034036440286435,194.83
2,3,0.46936154904904903,194.83
2,4,0.5210230663355664,194.83
2,5,0.5410518691768691,194.83
2,6,0.5668775746900746,194.83
2,7,0.5742867867867868,194.83
2,8,0.5826992858242858,194.83
3,1,0.3844570532070532,202.58
3,2,0.47376607376607377,202.58
3,3,0.49559403153153153,202.58
3,4,0.5166202259952261,202.58
3,5,0.5268328424578425,202.58
3,6,0.5478557884807885,202.58
3,7,0.5648755726880726,202.58
3,8,0.5818976428351429,202.58
4,1,0.3826588607838608,271.62
4,2,0.4893851784476784,271.62
4,3,0.5174172971047971,271.62
4,4,0.5556637166012166,271.62
4,5,0.5742873883498884,271.62
4,6,0.5812952375452376,271.62
4,7,0.5816961191961192,271.62
4,8,0.581495197120197,271.62
5,1,0.3910685926310926,224.4
5,2,0.4719664375914376,224.4
5,3,0.5206232674982675,224.4
5,4,0.5582671613921614,224.4
5,5,0.563074974012474,224.4
5,6,0.5762908341033341,224.4
5,7,0.5770883864633864,224.4
5,8,0.5764898311773311,224.4
6,1,0.3734420718795719,230.65
6,2,0.47717116154616157,230.65
6,3,0.5032047672672673,230.65
6,4,0.533238526988527,230.65
6,5,0.5680813024563025,230.65
6,6,0.5736859455609455,230.65
6,7,0.5808938746438747,230.65
6,8,0.575488348925849,230.65
7,1,0.3806546931546932,234.32
7,2,0.44433459902209904,234.32
7,3,0.5084066037191037,234.32
7,4,0.5418479777854778,234.32
7,5,0.5628730894355894,234.32
7,6,0.5810921498421499,234.32
7,7,0.5746856231231231,234.32
7,8,0.5756883085008085,234.32
8,1,0.39286931161931166,238.06
8,2,0.45113960113960117,238.06
8,3,0.5094078453453453,238.06
8,4,0.5270348473473474,238.06
8,5,0.5716824998074997,238.06
8,6,0.5726836211211211,238.06
8,7,0.576087987025487,238.06
8,8,0.5738851832601832,238.06
9,1,0.3984758797258798,243.78
9,2,0.4951918264418264,243.78
9,3,0.5120161026411026,243.78
9,4,0.5528605528605528,243.78
9,5,0.5692813005313005,243.78
9,6,0.5714848261723261,243.78
9,7,0.5690796565796566,243.78
9,8,0.5762885481635481,243.78
10,1,0.3680391930391931,252.5
10,2,0.4947931104181104,252.5
10,3,0.532036242973743,252.5
10,4,0.5720853064603064,252.5
10,5,0.5802958006083005,252.5
10,6,0.5816962395087395,252.5
10,7,0.577088988026488,252.5
10,8,0.5766893095018095,252.5
11,1,0.3772490038115038,250.44
11,2,0.5094088078463078,250.44
11,3,0.5192223473473473,250.44
11,4,0.5512571465696466,250.44
11,5,0.5576641545391545,250.44
11,6,0.5568667224917224,250.44
11,7,0.5714807355432355,250.44
11,8,0.581695277007777,250.44
12,1,0.37804980461230464,237.51
12,2,0.4383249836374836,237.51
12,3,0.5028023215523215,237.51
12,4,0.521423587048587,237.51
12,5,0.5236271126896127,237.51
