Repeat,Generation,F1_Score
1,1,0.3674
1,2,0.3831
1,3,0.3831
1,4,0.3831
1,5,0.3895
1,6,0.3895
1,7,0.3895
1,8,0.3895
2,1,0.3951
2,2,0.4015
2,3,0.4055
2,4,0.4127
2,5,0.4137
2,6,0.4169
2,7,0.4219
2,8,0.4255
3,1,0.3885
3,2,0.3907
3,3,0.3985
3,4,0.4007
3,5,0.4125
3,6,0.4125
3,7,0.4125
3,8,0.4125
4,1,0.3704
4,2,0.3737
4,3,0.3835
4,4,0.3993
4,5,0.3993
4,6,0.3993
4,7,0.3993
4,8,0.3993
5,1,0.3774
5,2,0.3891
5,3,0.3923
5,4,0.3923
5,5,0.4015
5,6,0.4015
5,7,0.4069
5,8,0.4069
6,1,0.4061
6,2,0.4061
6,3,0.4061
6,4,0.4199
6,5,0.4199
6,6,0.4199
6,7,0.4199
6,8,0.4267
7,1,0.4151
7,2,0.4151
7,3,0.4151
7,4,0.4151
7,5,0.4155
7,6,0.4299
7,7,0.4299
7,8,0.4299
8,1,0.3921
8,2,0.3921
8,3,0.4085
8,4,0.4085
8,5,0.4157
8,6,0.4157
8,7,0.4157
8,8,0.4157
9,1,0.3951
9,2,0.3951
9,3,0.3951
9,4,0.3951
9,5,0.3951
9,6,0.3951
9,7,0.4029
9,8,0.4033
10,1,0.3753
10,2,0.3949
10,3,0.3949
10,4,0.3973
10,5,0.4017
10,6,0.4019
10,7,0.4055
10,8,0.4083
11,1,0.3799
11,2,0.3977
11,3,0.3977
11,4,0.3985
11,5,0.4131
11,6,0.4153
11,7,0.4193
11,8,0.4277
12,1,0.3879
12,2,0.3957
12,3,0.3957
12,4,0.3957
12,5,0.3957
12,6,0.3993
12,7,0.3993
12,8,0.3993
13,1,0.3789
13,2,0.3789
13,3,0.3985
13,4,0.3985
13,5,0.4001
13,6,0.4057
13,7,0.4057
13,8,0.4083
14,1,0.3706
14,2,0.3813
14,3,0.3813
14,4,0.3813
14,5,0.3829
14,6,0.3895
14,7,0.3895
14,8,0.3917
15,1,0.4143
15,2,0.4167
15,3,0.4167
15,4,0.4203
15,5,0.4203
15,6,0.4257
15,7,0.4257
15,8,0.4257
16,1,0.3905
16,2,0.3941
16,3,0.3969
16,4,0.3987
16,5,0.4019
16,6,0.4099
16,7,0.4147
16,8,0.4147
17,1,0.3783
17,2,0.3783
17,3,0.3811
17,4,0.4017
17,5,0.4017
17,6,0.4017
17,7,0.4097
17,8,0.4121
18,1,0.3947
18,2,0.3947
18,3,0.3999
18,4,0.4007
18,5,0.4007
18,6,0.4061
18,7,0.4061
18,8,0.4061
19,1,0.3778
19,2,0.3853
19,3,0.3911
19,4,0.3911
19,5,0.3947
19,6,0.3947
19,7,0.3947
19,8,0.3947
20,1,0.3763
20,2,0.4075
20,3,0.4075
20,4,0.4075
20,5,0.4075
20,6,0.4075
20,7,0.4075
20,8,0.4101
21,1,0.3799
21,2,0.3799
21,3,0.3845
21,4,0.3845
21,5,0.3869
21,6,0.3879
21,7,0.4019
21,8,0.4019
22,1,0.3803
22,2,0.3803
22,3,0.3805
22,4,0.3907
22,5,0.4019
22,6,0.4019
22,7,0.4125
22,8,0.4125
23,1,0.3819
23,2,0.3883
23,3,0.3909
23,4,0.3997
23,5,0.3997
23,6,0.4133
23,7,0.4183
23,8,0.4183
24,1,0.3883
24,2,0.3883
24,3,0.3885
24,4,0.4065
24,5,0.4065
24,6,0.4065
24,7,0.4161
24,8,0.4225
25,1,0.371
25,2,0.3901
25,3,0.3901
25,4,0.3901
25,5,0.3941
25,6,0.3951
25,7,0.3957
25,8,0.3957
26,1,0.3935
26,2,0.3935
26,3,0.3937
26,4,0.4001
26,5,0.4001
26,6,0.4031
26,7,0.4031
26,8,0.4031
27,1,0.3855
27,2,0.3947
27,3,0.3947
27,4,0.4007
27,5,0.4007
27,6,0.4007
27,7,0.4007
27,8,0.4055
28,1,0.3841
28,2,0.4099
28,3,0.4107
28,4,0.4117
28,5,0.4177
28,6,0.4177
28,7,0.4255
28,8,0.4255
29,1,0.4073
29,2,0.4147
29,3,0.4147
29,4,0.4147
29,5,0.4165
29,6,0.4183
29,7,0.4183
29,8,0.4183
30,1,0.4071
30,2,0.4071
30,3,0.4221
30,4,0.4349
30,5,0.4349
30,6,0.4349
30,7,0.4349
30,8,0.4349
31,1,0.3925
31,2,0.3951
31,3,0.4143
31,4,0.4143
31,5,0.4165
31,6,0.4165
31,7,0.4165
31,8,0.4189
32,1,0.3963
32,2,0.4053
32,3,0.4175
32,4,0.4177
32,5,0.4177
32,6,0.4177
32,7,0.4177
32,8,0.4177
33,1,0.4125
33,2,0.4125
33,3,0.4201
33,4,0.4201
33,5,0.4269
33,6,0.4269
33,7,0.4269
33,8,0.4315
34,1,0.3843
34,2,0.3943
34,3,0.3983
34,4,0.4015
34,5,0.4015
34,6,0.4015
34,7,0.4123
34,8,0.4123
35,1,0.3935
35,2,0.3935
35,3,0.4075
35,4,0.4115
35,5,0.4115
35,6,0.4171
35,7,0.4185
35,8,0.4209
36,1,0.4005
36,2,0.4033
36,3,0.4033
36,4,0.4069
36,5,0.4069
36,6,0.4125
36,7,0.4137
36,8,0.4179
37,1,0.3722
37,2,0.3722
37,3,0.3765
37,4,0.3861
37,5,0.3861
37,6,0.3999
37,7,0.3999
37,8,0.3999
38,1,0.3805
38,2,0.3805
38,3,0.3893
38,4,0.3937
38,5,0.4009
38,6,0.4073
38,7,0.4073
38,8,0.4151
39,1,0.3957
39,2,0.3993
39,3,0.3993
39,4,0.4055
39,5,0.4055
39,6,0.4059
39,7,0.4121
39,8,0.4121
40,1,0.4003
40,2,0.4019
40,3,0.4081
40,4,0.4157
40,5,0.4181
40,6,0.4181
40,7,0.4181
40,8,0.4181
41,1,0.3831
41,2,0.3831
41,3,0.3897
41,4,0.3897
41,5,0.3933
41,6,0.3983
41,7,0.3983
41,8,0.3983
42,1,0.369
42,2,0.3823
42,3,0.4047
42,4,0.4047
42,5,0.4047
42,6,0.4047
42,7,0.4047
42,8,0.4047
43,1,0.3993
43,2,0.4043
43,3,0.4043
43,4,0.4043
43,5,0.4043
43,6,0.4043
43,7,0.4043
43,8,0.4109
44,1,0.372
44,2,0.3895
44,3,0.3917
44,4,0.3917
44,5,0.4029
44,6,0.4071
44,7,0.4071
44,8,0.4075
45,1,0.3977
45,2,0.4153
45,3,0.4153
45,4,0.4153
45,5,0.4153
45,6,0.4281
45,7,0.4281
45,8,0.4281
46,1,0.3736
46,2,0.3744
46,3,0.3744
46,4,0.3762
46,5,0.3847
46,6,0.3847
46,7,0.3889
46,8,0.3973
47,1,0.3903
47,2,0.4191
47,3,0.4191
47,4,0.4289
47,5,0.4289
47,6,0.4289
47,7,0.4289
47,8,0.4289
48,1,0.3775
48,2,0.3847
48,3,0.3867
48,4,0.3939
48,5,0.3939
48,6,0.4071
48,7,0.4071
48,8,0.4071
49,1,0.3879
49,2,0.3879
49,3,0.3945
49,4,0.3955
49,5,0.3955
49,6,0.3955
49,7,0.3989
49,8,0.3989
50,1,0.375
50,2,0.3815
50,3,0.3847
50,4,0.3891
50,5,0.3963
50,6,0.3963
50,7,0.3963
50,8,0.4031
51,1,0.3987
51,2,0.3987
51,3,0.4063
51,4,0.4063
51,5,0.4063
51,6,0.4121
51,7,0.4123
51,8,0.4123
52,1,0.3847
52,2,0.3949
52,3,0.3949
52,4,0.3949
52,5,0.4063
52,6,0.4069
52,7,0.4091
52,8,0.4121
53,1,0.3797
53,2,0.3905
53,3,0.3905
53,4,0.3905
53,5,0.3971
53,6,0.4017
53,7,0.4017
53,8,0.4017
54,1,0.3841
54,2,0.3841
54,3,0.3969
54,4,0.3969
54,5,0.4059
54,6,0.4109
54,7,0.4109
54,8,0.4109
55,1,0.3847
55,2,0.3855
55,3,0.3875
55,4,0.3969
