Repeat,Generation,F1_Score
55,5,0.4047
55,6,0.4047
55,7,0.4047
55,8,0.4047
56,1,0.4087
56,2,0.4087
56,3,0.4087
56,4,0.4229
56,5,0.4229
56,6,0.4229
56,7,0.4229
56,8,0.4235
57,1,0.3883
57,2,0.3901
57,3,0.3981
57,4,0.4061
57,5,0.4061
57,6,0.4061
57,7,0.4061
57,8,0.4061
58,1,0.3945
58,2,0.3945
58,3,0.4051
58,4,0.4051
58,5,0.4089
58,6,0.4089
58,7,0.4109
58,8,0.4125
59,1,0.3823
59,2,0.3877
59,3,0.3885
59,4,0.3961
59,5,0.3961
59,6,0.3977
59,7,0.4035
59,8,0.4035
60,1,0.3722
60,2,0.3913
60,3,0.3913
60,4,0.3913
60,5,0.4019
60,6,0.4025
60,7,0.4025
60,8,0.4089
61,1,0.3999
61,2,0.4007
61,3,0.4089
61,4,0.4137
61,5,0.4211
61,6,0.4211
61,7,0.4223
61,8,0.4299
62,1,0.3758
62,2,0.3829
62,3,0.3883
62,4,0.3883
62,5,0.3969
62,6,0.3969
62,7,0.4047
62,8,0.4047
63,1,0.4043
63,2,0.4043
63,3,0.4043
63,4,0.4055
63,5,0.4137
63,6,0.4137
63,7,0.4245
63,8,0.4245
64,1,0.3987
64,2,0.3987
64,3,0.4005
64,4,0.4005
64,5,0.4045
64,6,0.4065
64,7,0.4065
64,8,0.4065
65,1,0.3905
65,2,0.3921
65,3,0.3929
65,4,0.3955
65,5,0.4049
65,6,0.4049
65,7,0.4049
65,8,0.4135
66,1,0.3939
66,2,0.3939
66,3,0.3959
66,4,0.3997
66,5,0.4061
66,6,0.4061
66,7,0.4113
66,8,0.4151
67,1,0.3666
67,2,0.3771
67,3,0.3927
67,4,0.3927
67,5,0.3961
67,6,0.3961
67,7,0.4093
67,8,0.4093
68,1,0.3835
68,2,0.3921
68,3,0.3995
68,4,0.3995
68,5,0.4065
68,6,0.4127
68,7,0.4135
68,8,0.4135
69,1,0.3993
69,2,0.3993
69,3,0.4053
69,4,0.4053
69,5,0.4053
69,6,0.4053
69,7,0.4099
69,8,0.4099
70,1,0.3919
70,2,0.4007
70,3,0.4007
70,4,0.4075
70,5,0.4169
70,6,0.4187
70,7,0.4213
70,8,0.4333
71,1,0.3767
71,2,0.3767
71,3,0.3819
71,4,0.3819
71,5,0.3879
71,6,0.3947
71,7,0.3947
71,8,0.3981
72,1,0.3899
72,2,0.3899
72,3,0.3899
72,4,0.4033
72,5,0.4033
72,6,0.4033
72,7,0.4033
72,8,0.4033
73,1,0.4203
73,2,0.4203
73,3,0.4231
73,4,0.4231
73,5,0.4231
73,6,0.4265
73,7,0.4329
73,8,0.4329
74,1,0.3981
74,2,0.4125
74,3,0.4129
74,4,0.4217
74,5,0.4217
74,6,0.4217
74,7,0.4217
74,8,0.4217
75,1,0.4173
75,2,0.4173
75,3,0.4173
75,4,0.4217
75,5,0.4307
75,6,0.4307
75,7,0.4307
75,8,0.4307
76,1,0.3783
76,2,0.4065
76,3,0.4167
76,4,0.4167
76,5,0.4167
76,6,0.4167
76,7,0.4203
76,8,0.4363
77,1,0.4123
77,2,0.4197
77,3,0.4197
77,4,0.4217
77,5,0.4249
77,6,0.4307
77,7,0.4307
77,8,0.4307
78,1,0.3997
78,2,0.3997
78,3,0.3997
78,4,0.4075
78,5,0.4075
78,6,0.4125
78,7,0.4125
78,8,0.4125
79,1,0.3849
79,2,0.3849
79,3,0.3881
79,4,0.4037
79,5,0.4037
79,6,0.4037
79,7,0.4037
79,8,0.4139
80,1,0.3793
80,2,0.3919
80,3,0.3935
80,4,0.3935
80,5,0.3935
80,6,0.3935
80,7,0.3935
80,8,0.3939
81,1,0.3959
81,2,0.4027
81,3,0.4071
81,4,0.4087
81,5,0.4087
81,6,0.4087
81,7,0.4087
81,8,0.4087
82,1,0.3985
82,2,0.3985
82,3,0.4013
82,4,0.4013
82,5,0.4035
82,6,0.4077
82,7,0.4115
82,8,0.4115
83,1,0.3742
83,2,0.3756
83,3,0.3772
83,4,0.3873
83,5,0.3923
83,6,0.3981
83,7,0.4039
83,8,0.4039
84,1,0.3977
84,2,0.3991
84,3,0.4095
84,4,0.4095
84,5,0.4099
84,6,0.4179
84,7,0.4227
84,8,0.4251
85,1,0.3795
85,2,0.3845
85,3,0.3845
85,4,0.3845
85,5,0.3863
85,6,0.3903
85,7,0.3955
85,8,0.3955
86,1,0.3903
86,2,0.3931
86,3,0.4069
86,4,0.4069
86,5,0.4069
86,6,0.4167
86,7,0.4193
86,8,0.4227
87,1,0.3684
87,2,0.3829
87,3,0.3877
87,4,0.3911
87,5,0.3995
87,6,0.4109
87,7,0.4109
87,8,0.4109
88,1,0.3955
88,2,0.3955
88,3,0.3955
88,4,0.3955
88,5,0.3955
88,6,0.3973
88,7,0.4145
88,8,0.4145
89,1,0.3885
89,2,0.4017
89,3,0.4017
89,4,0.4069
89,5,0.4069
89,6,0.4087
89,7,0.4087
89,8,0.4091
90,1,0.3959
90,2,0.3959
90,3,0.4075
90,4,0.4075
90,5,0.4075
90,6,0.4123
90,7,0.4123
90,8,0.4123
91,1,0.3901
91,2,0.3913
91,3,0.3965
91,4,0.4011
91,5,0.4031
91,6,0.4087
91,7,0.4087
91,8,0.4117
92,1,0.3867
92,2,0.3867
92,3,0.3913
92,4,0.3913
92,5,0.3935
92,6,0.4009
92,7,0.4009
92,8,0.4009
93,1,0.3919
93,2,0.3975
93,3,0.3975
93,4,0.3975
93,5,0.3975
93,6,0.4113
93,7,0.4123
93,8,0.4161
94,1,0.3941
94,2,0.4047
94,3,0.4083
94,4,0.4083
94,5,0.4087
94,6,0.4147
94,7,0.4147
94,8,0.4147
95,1,0.3843
95,2,0.3843
95,3,0.3905
95,4,0.3905
95,5,0.3985
95,6,0.3985
95,7,0.3985
95,8,0.3985
96,1,0.3931
96,2,0.3931
96,3,0.3955
96,4,0.3973
96,5,0.3983
96,6,0.4009
96,7,0.4023
96,8,0.4109
97,1,0.3752
97,2,0.3979
97,3,0.4161
97,4,0.4161
97,5,0.4165
97,6,0.4165
97,7,0.4173
97,8,0.4189
98,1,0.3851
98,2,0.3863
98,3,0.3919
98,4,0.3919
98,5,0.4085
98,6,0.4085
98,7,0.4243
98,8,0.4243
99,1,0.3905
99,2,0.3905
99,3,0.4045
99,4,0.4045
99,5,0.4151
99,6,0.4151
99,7,0.4151
99,8,0.4151
100,1,0.3722
100,2,0.3909
100,3,0.3909
100,4,0.3909
100,5,0.3945
100,6,0.4017
100,7,0.4017
100,8,0.4017
