,Repeat,F1_Score,Time
0,1,0.3895,265.32999999999987
1,2,0.4255,238.21000000000075
2,3,0.4125,234.71999999999952
3,4,0.3993,232.4399999999993
4,5,0.4069,234.32000000000025
5,6,0.4267,236.2500000000004
6,7,0.4299,235.67000000000067
7,8,0.4157,235.4999999999998
8,9,0.4033,235.08000000000092
9,10,0.4083,234.51000000000062
10,11,0.4277,236.32000000000028
11,12,0.3993,234.81999999999962
12,13,0.4083,235.31000000000057
13,14,0.3917,233.6199999999991
14,15,0.4257,237.04000000000096
15,16,0.4147,233.56999999999988
16,17,0.4121,250.21999999999977
17,18,0.4061,244.2900000000005
18,19,0.3947,233.029999999999
19,20,0.4101,235.51000000000107
20,21,0.4019,234.61999999999995
21,22,0.4125,235.27000000000064
22,23,0.4183,234.75999999999996
23,24,0.4225,236.72000000000037
24,25,0.3957,234.34999999999937
25,26,0.4031,234.54999999999922
26,27,0.4055,233.85999999999908
27,28,0.4255,236.01000000000096
28,29,0.4183,236.64000000000058
29,30,0.4349,238.120000000001
30,31,0.4189,235.9800000000003
31,32,0.4177,235.29000000000107
32,33,0.4315,243.85000000000053
33,34,0.4123,246.74000000000046
34,35,0.4209,235.510000000001
35,36,0.4179,234.27999999999966
36,37,0.3999,233.88999999999922
37,38,0.4151,235.3700000000006
38,39,0.4121,234.84000000000017
39,40,0.4181,235.89000000000095
40,41,0.3983,234.31999999999985
41,42,0.4047,233.77999999999918
42,43,0.4109,234.5899999999997
43,44,0.4075,235.0699999999997
44,45,0.4281,236.260000000001
45,46,0.3973,232.9599999999996
46,47,0.4289,237.11000000000072
47,48,0.4071,233.4299999999991
48,49,0.3989,233.33999999999975
49,50,0.4031,240.65999999999977
50,51,0.4123,241.96999999999946
51,52,0.4121,234.7300000000006
52,53,0.4017,234.09999999999945
53,54,0.4109,234.82000000000002
54,55,0.4047,234.00999999999902
55,56,0.4235,235.62000000000108
56,57,0.4061,234.28999999999994
57,58,0.4125,234.82000000000008
58,59,0.4035,232.99999999999935
59,60,0.4089,233.9899999999996
60,61,0.4299,236.20000000000107
61,62,0.4047,234.30999999999923
62,63,0.4245,234.860000000001
63,64,0.4065,233.68999999999906
64,65,0.4135,234.6999999999995
65,66,0.4151,235.74999999999943
66,67,0.4093,239.29999999999987
67,68,0.4135,242.58000000000044
68,69,0.4099,236.1500000000008
69,70,0.4333,238.1800000000004
70,71,0.3981,233.79999999999905
71,72,0.4033,233.83999999999992
72,73,0.4329,237.06000000000046
73,74,0.4217,236.2700000000008
74,75,0.4307,236.57000000000122
75,76,0.4363,236.49000000000126
76,77,0.4307,235.49000000000095
77,78,0.4125,234.8399999999999
78,79,0.4139,234.75999999999982
79,80,0.3939,232.0299999999996
80,81,0.4087,235.60000000000005
81,82,0.4115,234.7800000000001
82,83,0.4039,240.04999999999902
83,84,0.4251,244.65000000000103
84,85,0.3955,233.06999999999925
85,86,0.4227,234.93000000000035
86,87,0.4109,234.03000000000034
87,88,0.4145,233.65999999999923
88,89,0.4091,234.52999999999955
89,90,0.4123,234.98999999999998
90,91,0.4117,233.46999999999963
91,92,0.4009,234.6700000000001
92,93,0.4161,234.20999999999952
93,94,0.4147,235.5
94,95,0.3985,232.4599999999994
95,96,0.4109,233.76999999999904
96,97,0.4189,234.92000000000056
97,98,0.4243,235.5200000000011
98,99,0.4151,236.84000000000037
99,100,0.4017,238.47999999999905
